timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1786000880859,1810,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2227,536,1,1,null,0,7,27
1786000880861,1810,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2227,536,1,1,https://api.anthropic.com/v1/messages,1809,0,27
1786000880859,1810,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2227,536,1,1,null,0,7,27
1786000880861,1810,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2227,536,1,1,https://api.anthropic.com/v1/messages,1809,0,27
1786000882679,2408,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2328,534,1,1,null,0,191,27
1786000882867,2408,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2328,534,1,1,https://api.anthropic.com/v1/messages,2407,0,27
1786000882679,2408,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2328,534,1,1,null,0,191,27
1786000882867,2408,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2328,534,1,1,https://api.anthropic.com/v1/messages,2407,0,27
1786000885279,1726,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2182,544,1,1,null,0,5,24
1786000885280,1726,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2182,544,1,1,https://api.anthropic.com/v1/messages,1726,0,24
1786000885279,1726,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2182,544,1,1,null,0,5,24
1786000885280,1726,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2182,544,1,1,https://api.anthropic.com/v1/messages,1726,0,24
1786000887011,2638,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2466,541,1,1,null,0,276,25
1786000887283,2638,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2466,541,1,1,https://api.anthropic.com/v1/messages,2637,0,25
1786000887011,2638,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2466,541,1,1,null,0,276,25
1786000887283,2638,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2466,541,1,1,https://api.anthropic.com/v1/messages,2637,0,25
1786000889926,1311,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2054,531,1,1,null,0,5,29
1786000889927,1311,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2054,531,1,1,https://api.anthropic.com/v1/messages,1310,0,29
1786000889926,1311,Chatbot Turn: simple_query,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2054,531,1,1,null,0,5,29
1786000889927,1311,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2054,531,1,1,https://api.anthropic.com/v1/messages,1310,0,29
1786000891243,2430,Chatbot Turn: account_management,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2292,569,1,1,null,0,687,27
1786000891927,2430,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2292,569,1,1,https://api.anthropic.com/v1/messages,2429,0,27
1786000891243,2430,Chatbot Turn: account_management,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2292,569,1,1,null,0,687,27
1786000891927,2430,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2292,569,1,1,https://api.anthropic.com/v1/messages,2429,0,27
1786000894361,2680,Chatbot Turn: account_management,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2374,568,1,1,null,0,4,20
1786000894362,2680,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2374,568,1,1,https://api.anthropic.com/v1/messages,2679,0,20
1786000894361,2680,Chatbot Turn: account_management,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2374,568,1,1,null,0,4,20
1786000894362,2680,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2374,568,1,1,https://api.anthropic.com/v1/messages,2679,0,20
1786000897046,2295,Chatbot Turn: account_management,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2203,550,1,1,null,0,4,22
1786000897047,2295,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2203,550,1,1,https://api.anthropic.com/v1/messages,2295,0,22
1786000897046,2295,Chatbot Turn: account_management,200,"Number of samples in transaction : 1, number of failing samples : 0",Chatbot Load Test — 1 Users 1-1,,true,,2203,550,1,1,null,0,4,22
1786000897047,2295,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2203,550,1,1,https://api.anthropic.com/v1/messages,2295,0,22
1786000899347,2449,Chatbot Turn: account_management,200,,Chatbot Load Test — 1 Users 1-1,,true,,2375,560,1,1,null,0,0,0
1786000899348,2448,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2375,560,1,1,https://api.anthropic.com/v1/messages,2447,0,20
1786000899347,2449,Chatbot Turn: account_management,200,,Chatbot Load Test — 1 Users 1-1,,true,,2375,560,1,1,null,0,0,0
1786000899348,2448,POST /v1/messages,200,OK,Chatbot Load Test — 1 Users 1-1,text,true,,2375,560,1,1,https://api.anthropic.com/v1/messages,2447,0,20
1786000901803,277,Write aggregate.csv,200,OK,TearDown: Write Aggregate CSV 1-1,text,true,,0,0,1,1,null,0,0,0
